"zipcode","year","tc","gradrate","Income","size"
10012,2001,3069,,,
10012,2002,2715,,,
10012,2003,2649,,,
10012,2004,2383,,,
10012,2005,2305,,,
10012,2006,2013,,,
10012,2007,1914,,,
10012,2008,1708,,,
10012,2009,1578,,,
10012,2010,1445,,,
10012,2011,1402,,"95,577",1.71
10013,2001,3069,58.9,,
10013,2002,2715,43.9,,
10013,2003,2649,35.1,,
10013,2004,2383,40.4,,
10013,2005,2305,50.6,,
10013,2006,2013,52,,
10013,2007,1914,65.7,,
10013,2008,1708,70.5,,
10013,2009,1578,70.1,,
10013,2010,1445,90.05,,
10013,2011,1402,42.8,"220,757",2.13
10004,2001,3069,60,,
10004,2002,2715,63.4,,
10004,2003,2649,55.7,,
10004,2004,2383,73.9,,
10004,2005,2305,73.8,,
10004,2006,2013,67.9,,
10004,2007,1914,71.4,,
10004,2008,1708,71.3,,
10004,2009,1578,70.9,,
10004,2010,1445,85.4,,
10004,2011,1402,80.17,"181,042",1.81
10006,2001,3069,69.5,,
10006,2002,2715,62.8,,
10006,2003,2649,61.3,,
10006,2004,2383,68.8,,
10006,2005,2305,68.9,,
10006,2006,2013,69.4,,
10006,2007,1914,64.1,,
10006,2008,1708,64.7,,
10006,2009,1578,64.5,,
10006,2010,1445,73,,
10006,2011,1402,68.75,"161,202",1.68
10007,2001,3069,,,
10007,2002,2715,,,
10007,2003,2649,,,
10007,2004,2383,,,
10007,2005,2305,,,
10007,2006,2013,,,
10007,2007,1914,,,
10007,2008,1708,,,
10007,2009,1578,,,
10007,2010,1445,,,
10007,2011,1402,,"430,777",2.1
10280,2001,3069,,,
10280,2002,2715,,,
10280,2003,2649,,,
10280,2004,2383,,,
10280,2005,2305,,,
10280,2006,2013,,,
10280,2007,1914,,,
10280,2008,1708,,,
10280,2009,1578,,,
10280,2010,1445,,,
10280,2011,1402,,"182,441",1.94
10282,2001,3069,68.6,,
10282,2002,2715,96,,
10282,2003,2649,97.2,,
10282,2004,2383,97.8,,
10282,2005,2305,96.5,,
10282,2006,2013,99.1,,
10282,2007,1914,99.4,,
10282,2008,1708,98.2,,
10282,2009,1578,83.3,,
10282,2010,1445,98.9,,
10282,2011,1402,98.8,"316,718",2.16
10005,2001,1458,,,
10005,2002,1309,,,
10005,2003,1231,,,
10005,2004,1170,,,
10005,2005,1131,,,
10005,2006,1040,,,
10005,2007,1031,,,
10005,2008,1029,,,
10005,2009,975,,,
10005,2010,969,,,
10005,2011,962,,"175,864",1.67
10038,2001,1458,68.6,,
10038,2002,1309,65.8,,
10038,2003,1231,57.1,,
10038,2004,1170,50.1,,
10038,2005,1131,57.8,,
10038,2006,1040,60,,
10038,2007,1031,61.6,,
10038,2008,1029,51.2,,
10038,2009,975,61.3,,
10038,2010,969,51.5,,
10038,2011,962,49,"121,805",1.98
10014,2001,2141,,,
10014,2002,2059,,,
10014,2003,2068,,,
10014,2004,2174,,,
10014,2005,2055,,,
10014,2006,1979,,,
10014,2007,1837,,,
10014,2008,1738,,,
10014,2009,1633,,,
10014,2010,1530,,,
10014,2011,1504,,"175,237",1.59
10002,2001,892,66.7,,
10002,2002,908,63,,
10002,2003,864,68.9,,
10002,2004,857,75.2,,
10002,2005,804,75.2,,
10002,2006,864,75.3,,
10002,2007,856,72.1,,
10002,2008,807,72.4,,
10002,2009,702,72.3,,
10002,2010,702,68.35,,
10002,2011,704,68.7,"60,564",2.42
10003,2001,1672,59.1,,
10003,2002,1809,62.2,,
10003,2003,1801,61.2,,
10003,2004,1747,72.8,,
10003,2005,1664,73.3,,
10003,2006,1579,71.3,,
10003,2007,1519,70.5,,
10003,2008,1495,70,,
10003,2009,1523,70.1,,
10003,2010,1387,48.54,,
10003,2011,2115,56.07,"156,983",1.63
10009,2001,1672,69.5,,
10009,2002,1809,62.5,,
10009,2003,1801,62,,
10009,2004,1747,72.5,,
10009,2005,1664,71.8,,
10009,2006,1579,78.9,,
10009,2007,1519,72.7,,
10009,2008,1495,75.6,,
10009,2009,1523,6.6,,
10009,2010,1387,,,
10009,2011,2115,86.4,"86,010",1.99
10011,2001,877,58.2,,
10011,2002,831,61.1,,
10011,2003,1436,60.5,,
10011,2004,1466,71.9,,
10011,2005,1418,71.9,,
10011,2006,1469,70.4,,
10011,2007,1326,70.5,,
10011,2008,1321,70.6,,
10011,2009,1133,70.8,,
10011,2010,1049,76.1,,
10011,2011,1398,74.41,"193,307",1.61
10010,2001,3054,72.5,,
10010,2002,3145,78.9,,
10010,2003,3031,77.6,,
10010,2004,3071,79.8,,
10010,2005,2812,79.8,,
10010,2006,2716,80.7,,
10010,2007,2540,76.8,,
10010,2008,2518,,,
10010,2009,2389,,,
10010,2010,2136,,,
10010,2011,3317,,"150,684",1.68
10001,2001,6088,18.7,,
10001,2002,5265,,,
10001,2003,5105,,,
10001,2004,4730,19,,
10001,2005,4423,16.1,,
10001,2006,4173,13.5,,
10001,2007,3971,34.7,,
10001,2008,3708,33.9,,
10001,2009,3330,45.1,,
10001,2010,3069,28.9,,
10001,2011,6857,31.2,"151,316",1.72
10018,2001,6088,,,
10018,2002,5265,,,
10018,2003,5105,,,
10018,2004,4730,,,
10018,2005,4423,,,
10018,2006,4173,"$",,
10018,2007,3971,"$",,
10018,2008,3708,,,
10018,2009,3330,,,
10018,2010,3069,,,
10018,2011,6857,,"141,782",1.65
10016,2001,1990,58.5,,
10016,2002,1801,47.3,,
10016,2003,1796,48.5,,
10016,2004,1667,64.5,,
10016,2005,1397,64.4,,
10016,2006,1391,62,,
10016,2007,1277,65,,
10016,2008,1269,83.73,,
10016,2009,1018,75.2,,
10016,2010,990,80.2,,
10016,2011,937,85.3,"152,088",1.63
10017,2001,1990,,,
10017,2002,1801,,,
10017,2003,1796,,,
10017,2004,1667,,,
10017,2005,1397,,,
10017,2006,1391,,,
10017,2007,1277,,,
10017,2008,1269,,,
10017,2009,1018,,,
10017,2010,990,,,
10017,2011,937,,"161,962",1.52
10022,2001,1990,58.2,,
10022,2002,1801,63.7,,
10022,2003,1796,61.1,,
10022,2004,1667,68.3,,
10022,2005,1397,64.8,,
10022,2006,1391,72.2,,
10022,2007,1277,82.8,,
10022,2008,1269,83.73,,
10022,2009,1018,75.2,,
10022,2010,990,80.2,,
10022,2011,937,85.3,"221,140",1.62
10019,2001,5263,57.4,,
10019,2002,4508,61,,
10019,2003,4144,60.1,,
10019,2004,3992,72.6,,
10019,2005,3652,72.6,,
10019,2006,2945,71.3,,
10019,2007,2761,70.1,,
10019,2008,2718,65.8,,
10019,2009,2479,70,,
10019,2010,2331,64.8,,
10019,2011,2228,68.73,"137,685",1.63
